"instrument_key","exchange_token","tradingsymbol","name","last_price","expiry","strike","tick_size","lot_size","instrument_type","option_type","exchange"
"BSE_INDEX|INDSTR","41",,"INDSTR","16385.9","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|ALLCAP","36",,"ALLCAP","10615.92","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|SMLCAP","31",,"SMLCAP","54153.96","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSEFMC","32",,"BSEFMC","20926.78","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|REALTY","21",,"REALTY","8740.66","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|SMEIPO","27",,"SMEIPO","99134.4","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|LRGCAP","42",,"LRGCAP","9551.12","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSE500","4",,"BSE500","36315.81","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|FINSER","40",,"FINSER","11538.23","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|AUTO","13",,"AUTO","57826.16","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSECD","8",,"BSECD","58700.26","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|MFG","35",,"MFG","1073.07","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|OILGAS","15",,"OILGAS","30152.29","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|UTILS","46",,"UTILS","6285.68","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|GREENX","25",,"GREENX","7437.3","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|MIDSEL","43",,"MIDSEL","17061.21","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSEHC","33",,"BSEHC","38246.54","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|ENERGY","39",,"ENERGY","13177.12","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|SMLSEL","44",,"SMLSEL","7976.27","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|SENSEX","1",,"SENSEX","79996.6","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|MIDCAP","30",,"MIDCAP","47437.85","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|CONDIS","38",,"CONDIS","10086.37","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|COMDTY","37",,"COMDTY","7817.58","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BANKEX","12",,"BANKEX","60332.23","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|CPSE","29",,"CPSE","4423.49","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|TECK","11",,"TECK","17681.2","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|POWER","22",,"POWER","8095.23","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSECG","7",,"BSECG","75131.43","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|CARBON","26",,"CARBON","4195.82","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSE200","3",,"BSE200","11296.24","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSE100","2",,"BSE100","25797.39","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|TELCOM","45",,"TELCOM","3156.84","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSEIPO","23",,"BSEIPO","16115.98","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSEIT","34",,"BSEIT","38483.33","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|INFRA","28",,"INFRA","690.94","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|METAL","14",,"METAL","33739.36","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|BSEPSU","10",,"BSEPSU","22040.78","",,"",,"INDEX",,"BSE_INDEX"
"BSE_INDEX|SENSEX50","47",,"SENSEX50","25593.02","",,"",,"INDEX",,"BSE_INDEX"
"BSE_EQ|INE008B01013","524288","AIMCOPEST","AIMCO PESTICIDES LTD","104.45","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|IN9079L01011","890200","IYKOTPP","IYKOT HITECH TOOLROOM LTD","12.24","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE916DA7SD0","974591","792KMPL25","KMPL792201125PVT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|IN9304E01018","890201","SAVFIPP","SAVANI FINANCIALS LTD","18.77","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE499G01013","524314","GUJTERC","GUJARAT TERCE LABORATORIES LTD","47.97","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|IN9624Z01014","890202","SOLARAPP","SOLARA ACTIVE PHARMA SCIENCES","298.65","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE999H07082","974380","7LKCP26A","LKCPL7261026PVT","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE323K01017","524322","KABRADG","KABRA DRUGS LTD","0.0","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE573R01012","524324","SEYAIND","SEYA INDUSTRIES LTD","23.66","",,"0.01","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE704P01025","540678","COCHINSHIP","COCHIN SHIPYARD LIMITED","2835.35","",,"0.05","1","EQUITY",,"BSE_EQ"
"BSE_EQ|INE785A01026","524330","JAYAGROGN","JAYANT AGROORGANICS LTD","322.15","",,"0.05","1","EQUITY",,"BSE_EQ"
